0.0,0.1111111111111111,48,65,30,0,1
0.0,0.2222222222222222,35,34,84,1,2
0.0,0.3333333333333333,4,53,64,2,3
0.0,0.4444444444444444,84,0,35,3,4
0.0,0.5555555555555556,1,0,85,4,5
0.0,0.6666666666666666,46,11,10,5,6
0.0,0.7777777777777777,54,44,33,6,7
0.0,0.8888888888888888,77,97,72,7,8
0.0,1.0,31,55,32,8,9
0.1111111111111111,1.0,43,2,1,9,10
0.2222222222222222,1.0,63,52,41,10,11
0.3333333333333333,1.0,2,43,42,11,12
0.4444444444444444,1.0,62,52,51,12,13
0.5555555555555556,1.0,44,34,33,13,14
0.6666666666666666,1.0,5,64,47,14,15
0.7777777777777777,1.0,95,80,78,15,16
0.8888888888888888,1.0,54,86,44,16,17
1.0,1.0,53,3,42,17,18
1.0,0.8888888888888888,48,58,92,18,19
1.0,0.7777777777777777,37,89,6,19,20
1.0,0.6666666666666666,6,5,47,20,21
1.0,0.5555555555555556,49,24,23,21,22
1.0,0.4444444444444444,98,49,59,22,23
1.0,0.3333333333333333,8,7,89,23,24
1.0,0.2222222222222222,52,63,51,24,25
1.0,0.1111111111111111,10,9,89,25,26
1.0,0.0,46,10,37,26,27
0.8888888888888888,0.0,82,76,79,27,28
0.7777777777777777,0.0,89,9,8,28,29
0.6666666666666666,0.0,61,14,50,29,30
0.5555555555555556,0.0,42,3,2,30,31
0.4444444444444444,0.0,66,13,12,31,32
0.3333333333333333,0.0,29,48,30,32,33
0.2222222222222222,0.0,20,62,21,33,34
0.1111111111111111,0.0,58,48,29,34,35
0.0,0.0,40,66,76,35,36
0.19696934817724635,0.2777777777777778,90,27,26,36,37
0.16666666666666674,0.8333333333333333,66,12,56,37,38
0.6111111111111112,0.19696934817724626,61,50,40,38,39
0.8333333333333333,0.16666666666666674,28,27,90,39,0
0.6111111111111112,0.8030306518227537,25,90,26,x,x
0.8333333333333333,0.8333333333333333,70,21,62,x,x
0.12198898921416022,0.38888888888888884,22,59,23,x,x
0.09064990238011082,0.2777777777777778,29,28,58,x,x
0.16666666666666666,0.13498618784545027,76,82,100,x,x
0.38888888888888884,0.19696934817724635,24,49,39,x,x
0.27777777777777773,0.888888888888889,45,55,65,x,x
0.11111111111111112,0.7222222222222222,39,90,24,x,x
0.6111111111111112,0.0906499023801108,39,49,60,x,x
0.888888888888889,0.2777777777777778,52,20,19,x,x
0.6111111111111112,0.9093500976198892,0,84,85,x,x
0.8030306518227537,0.6111111111111112,13,50,14,x,x
0.8888888888888888,0.7222222222222221,54,33,32,x,x
0.09894570364203649,0.5,41,91,15,x,x
0.27777777777777773,0.101790155744563,15,14,61,x,x
0.38888888888888884,0.09064990238011082,42,43,36,x,x
0.38888888888888884,0.9027777777777778,19,41,52,x,x
0.3055555555555561,0.694444444444444,11,56,12,x,x
0.7222222222222221,0.09639648583128176,17,91,18,x,x
0.9027777777777778,0.3888888888888889,80,95,73,x,x
0.7362453042103878,0.28465512567258416,65,55,31,x,x
0.7170393206775315,0.8561903747213214,17,16,91,x,x
0.9093500976198892,0.611111111111111,37,47,68,x,x
0.7646102948485115,0.7295273696464779,19,18,91,x,x
0.09700253675274818,0.6115504820500592,46,56,11,x,x
0.5,0.09639648583128196,85,36,43,x,x
0.5014750325339925,0.8561903747213214,3,53,4,x,x
0.3453947368421052,0.7993421052631577,67,56,46,x,x
0.2129629629629633,0.7407407407407405,59,49,23,x,x
0.21265336429803872,0.6243808026701504,47,37,6,x,x
0.9037698412698413,0.5,55,54,32,x,x
0.6158069740986739,0.6158069740986739,86,54,45,x,x
0.25239950472905015,0.47387969374481476,31,30,65,x,x
0.7512691887103558,0.4458016285588502,54,55,45,x,x
0.7102462264246725,0.6464479505289648,67,46,68,x,x
0.6931036615766515,0.5384262656267005,50,66,40,x,x
0.49659395462314737,0.706487653569643,47,69,68,x,x
0.32404747430515,0.573300223604501,36,88,42,x,x
0.5594810143862445,0.3899397709362814,28,39,58,x,x
0.40441058570622734,0.6475506064548461,39,60,92,x,x
0.6474248676498932,0.44516590455667177,70,22,21,x,x
0.542861131937215,0.5140411634260094,48,92,38,x,x
0.49671833716131797,0.6047326317501036,59,70,99,x,x
0.42459346467432346,0.5109521106622018,51,63,74,x,x
0.08830970335894815,0.08830970335894817,63,100,74,x,x
0.0853302899766365,0.1824194415882596,15,61,41,x,x
0.28140399791297266,0.210001469905178,52,62,20,x,x
0.353082108190481,0.35141319967514384,70,59,22,x,x
0.22311090504977266,0.3762735072327866,41,61,63,x,x
0.09722222222222227,0.9027777777777777,40,63,61,x,x
0.9027777777777778,0.09722222222222227,4,64,5,x,x
0.9027777777777777,0.9027777777777777,68,69,57,x,x
0.707796675429975,0.19212261979387346,48,38,65,x,x
0.5,0.20805970754383,65,38,93,x,x
0.564065604766075,0.28777425589424993,13,66,50,x,x
0.6503748281088834,0.34283293101658535,56,67,101,x,x
0.4630479546494962,0.3344267972874859,68,46,37,x,x
0.18408064155988946,0.5363361013485186,77,57,69,x,x
0.8052912713835865,0.3594914851155414,69,47,64,x,x
0.8116099710178013,0.5176662892039551,67,68,57,x,x
0.5925192029214918,0.7088936089943667,53,97,64,x,x
0.43963946733257786,0.7832755971841409,97,42,72,x,x
0.34771078321482335,0.449617329004719,51,99,62,x,x
x,x,62,99,70,x,x
x,x,77,69,97,x,x
x,x,95,98,73,x,x
x,x,87,36,86,x,x
x,x,93,45,65,x,x
x,x,75,51,74,x,x
x,x,75,80,73,x,x
x,x,100,63,40,x,x
x,x,75,74,71,x,x
x,x,80,81,78,x,x
x,x,75,73,99,x,x
x,x,66,101,76,x,x
x,x,79,67,57,x,x
x,x,102,96,83,x,x
x,x,79,76,101,x,x
x,x,75,81,80,x,x
x,x,81,83,78,x,x
x,x,57,77,79,x,x
x,x,81,82,83,x,x
x,x,81,75,71,x,x
x,x,78,94,95,x,x
x,x,71,100,82,x,x
x,x,79,83,82,x,x
x,x,83,79,77,x,x
x,x,71,82,81,x,x
x,x,72,102,77,x,x
x,x,102,88,87,x,x
x,x,34,44,84,x,x
x,x,84,44,85,x,x
x,x,36,85,44,x,x
x,x,43,1,85,x,x
x,x,86,45,87,x,x
x,x,44,86,36,x,x
x,x,45,93,96,x,x
x,x,102,87,96,x,x
x,x,87,88,36,x,x
x,x,72,42,88,x,x
x,x,6,89,7,x,x
x,x,10,89,37,x,x
x,x,24,90,25,x,x
x,x,28,90,39,x,x
x,x,15,91,16,x,x
x,x,19,91,41,x,x
x,x,39,92,58,x,x
x,x,60,38,92,x,x
x,x,38,94,93,x,x
x,x,94,96,93,x,x
x,x,95,38,60,x,x
x,x,96,94,78,x,x
x,x,38,95,94,x,x
x,x,95,60,98,x,x
x,x,83,96,78,x,x
x,x,96,87,45,x,x
x,x,64,97,69,x,x
x,x,42,97,53,x,x
x,x,49,98,60,x,x
x,x,99,98,59,x,x
x,x,75,99,51,x,x
x,x,99,73,98,x,x
x,x,74,100,71,x,x
x,x,40,76,100,x,x
x,x,56,101,66,x,x
x,x,79,101,67,x,x
x,x,77,102,83,x,x
x,x,88,102,72,x,x
